# z mu_obs mu_err
0.735 23.70605 0.134
0.73516 24.02845 0.2108
0.7362 24.06925 0.19205
0.7364 23.77845 0.1399
0.74 23.8446 0.12605
0.74116 24.26275 0.21515
0.7424 23.92255 0.19885
0.74526 23.8056 0.16465
0.74538 24.00735 0.1527
0.74991 23.81055 0.18275
0.75039 23.763 0.19155
0.75639 24.03965 0.1583
0.75816 24.0557 0.15165
0.76039 23.92525 0.14995
0.76191 24.05415 0.16035
0.7622 23.97575 0.15445
0.7662 24.10805 0.1549
0.76639 24.2307 0.1806
0.7672 24.24705 0.1593
0.76791 24.3849 0.17855
0.7692 24.2078 0.16885
0.77391 24.17605 0.17625
0.77721 24.0942 0.17835
0.78891 24.1069 0.13815
0.78991 24.2188 0.11585
0.7972 23.85445 0.1588
0.7992 24.3605 0.17435
0.80039 23.82255 0.1606
0.80538 24.0139 0.1301
0.80538 24.09575 0.1555
0.80691 24.2544 0.1837
0.80892 24.55735 0.16345
0.80991 24.20795 0.1668
0.8104 24.0795 0.17055
0.81338 24.26675 0.14105
0.8174 24.3431 0.12085
0.82116 24.1676 0.18525
0.82238 24.3356 0.14625
0.8292 24.39785 0.1526
0.83716 24.1545 0.1807
0.83791 24.3054 0.1427
0.84091 24.0253 0.15175
0.84116 24.3261 0.1858
0.8412 24.22255 0.1456
0.8489 24.3105 0.16975
0.8492 24.33175 0.14855
0.85039 24.31865 0.1304
0.85391 24.3052 0.1508
0.854 24.3128 0.21455
0.8592 24.1237 0.1478
0.8592 24.4442 0.16535
0.8592 24.54425 0.17845
0.86491 24.39625 0.15285
0.8652 24.3693 0.14625
0.8672 24.34685 0.17385
0.87116 24.3402 0.1332
0.87891 24.42165 0.14325
0.89038 24.1804 0.14085
0.89216 24.5781 0.1577
0.89791 24.40275 0.16645
0.90139 24.5128 0.1511
0.91039 24.6116 0.16365
0.9142 24.37895 0.13735
0.92116 24.355 0.1708
0.92116 24.57175 0.18725
0.92516 24.7687 0.10935
0.92591 24.7416 0.1923
0.92891 24.7789 0.1829
0.93116 24.704 0.21015
0.93291 24.54795 0.15235
0.93491 24.7653 0.2009
0.935 24.2666 0.1658
0.93639 24.4717 0.1405
0.94791 24.41155 0.1642
0.94921 24.66675 0.15105
0.95039 24.68515 0.14485
0.95991 24.80665 0.17245
0.96038 24.5736 0.1577
0.96038 24.80925 0.14255
0.97 25.11545 0.26175
0.9752 24.7061 0.13985
0.98216 24.78095 0.143
0.98339 24.92305 0.1439
0.9842 24.828 0.153
0.9972 24.69965 0.1408
0.99891 24.6122 0.0953
1.0024 25.0798 0.19135
1.014 24.85445 0.2291
1.02 24.88235 0.1657
1.02991 24.7289 0.16015
1.06039 24.6873 0.16415
1.092 24.63835 0.26405
1.12 25.0639 0.1649
1.206 25.73935 0.3352
1.23 25.4985 0.17085
1.23 25.28615 0.19155
1.3 25.52015 0.17875
1.305 25.2642 0.235
1.315 25.54235 0.1987
1.33 25.6034 0.1484
1.34 25.4652 0.1632
1.37 25.5159 0.1622
1.39 25.36305 0.20125
1.54 25.9072 0.21065
1.55 26.00705 0.18565
1.7 26.0592 0.2832
1.8 26.2011 0.18795
1.914 26.1609 0.2559
2.26 26.877 0.2548
